ARCHER Project Detailed Report: n02 ( NCAS (National Centre for Atmospheric Science) )
Report produced on 2018-03-27 .
Job list for specified period (limited to entries).
PBS ID, Alps ID, User, Budget, PBS Submitted, Alps Start, Alps End, Job Size / Nodes, Peak RSS Memory sum over nodes, Peak VM Memory sum over nodes, Integral RSS (MB-usec), Energy Used sum over nodes, Read system calls, Write system calls, Chars read, Chars written, Pages swapped, Major page faults, Minor page faults, User time, System time, Integrated memory use (MB-usec)
4694371.sdb, 27968208, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Fri Jul 28 05:53:36 BST 2017, Fri Jul 28 05:56:13 BST 2017, Fri Jul 28 19:13:20 BST 2017, 194, 16597300, 36286124, 54754292398749839, 2474925056, 2648695451, 68846213, 3085867259456, 1608698479007, 0, 667088, 12162130988, 200219082480000, 11955241948000, 
4695882.sdb, 27978586, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Fri Jul 28 19:15:23 BST 2017, Sat Jul 29 01:22:34 BST 2017, Sat Jul 29 14:38:37 BST 2017, 194, 16556880, 36175916, 54975489361037467, 2452912303, 2557789836, 67135321, 2992458880280, 1611524015914, 0, 663569, 13292645659, 199606026936000, 12251911788000, 
4704338.sdb, 28001460, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Sun Jul 30 04:04:15 BST 2017, Sun Jul 30 18:02:34 BST 2017, Sun Jul 30 18:02:34 BST 2017, 194, 16583804, 36225292, 35701450382064516, 2599199125, 2625706956, 68590888, 3062539307268, 1608361949802, 0, 661540, 11952779517, 209883061880000, 12863803916000, 
4708509.sdb, 28026156, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Mon Jul 31 07:42:44 BST 2017, Mon Jul 31 07:43:57 BST 2017, Mon Jul 31 21:19:19 BST 2017, 194, 16615124, 31713132, 48490353754164752, 2529567239, 2657914895, 69481077, 3095928369075, 1609414231423, 0, 670064, 11607190563, 204830612164000, 12174168164000, 
4711292.sdb, 28042006, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Tue Aug 01 11:06:34 BST 2017, Tue Aug 01 11:08:21 BST 2017, Wed Aug 02 00:36:49 BST 2017, 194, 16535180, 31547212, 54542531094624054, 2527095579, 2542730436, 67484293, 2977200041594, 1611744623240, 0, 651779, 14031872858, 202923792916000, 12119624636000, 
4713448.sdb, 28049265, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Wed Aug 02 00:38:40 BST 2017, Wed Aug 02 04:32:43 BST 2017, Wed Aug 02 18:52:43 BST 2017, 194, 16596440, 33241276, 33149021037138339, 2673907848, 2663439539, 69176730, 3101651097538, 1609424933690, 0, 671274, 11610805815, 215385743800000, 13314850816000, 
4715272.sdb, 28074952, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Wed Aug 02 18:56:00 BST 2017, Thu Aug 03 04:43:02 BST 2017, Thu Aug 03 18:49:43 BST 2017, 194, 16543484, 31640236, 31645203883780707, 2609846196, 2681809251, 69902817, 3119697872015, 1608361287957, 0, 707518, 12103531846, 211714545552000, 13262815168000, 
4744669.sdb, 28276172, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Wed Aug 16 02:57:23 BST 2017, Wed Aug 16 09:54:25 BST 2017, Wed Aug 16 23:37:42 BST 2017, 194, 16538988, 31666604, 39925634265502461, 2543532235, 2637053132, 68630552, 3074635167612, 1609331080683, 0, 670653, 11744009510, 206389292236000, 12670362972000, 
4749223.sdb, 28297184, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Fri Aug 18 08:26:14 BST 2017, Fri Aug 18 08:27:42 BST 2017, Fri Aug 18 21:52:06 BST 2017, 194, 16540864, 31594380, 55103123533109404, 2513959282, 2546507185, 66775685, 2981067748649, 1611608594176, 0, 691892, 13591206909, 201423449784000, 12662605516000, 
4755095.sdb, 28351391, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Tue Aug 22 02:52:52 BST 2017, Tue Aug 22 03:09:18 BST 2017, Tue Aug 22 16:32:42 BST 2017, 194, 16602856, 31575020, 54885406974897460, 2493464911, 2591989316, 67742452, 3028541298642, 1608218976366, 0, 686847, 11857483655, 201302532464000, 12515459084000, 
4757852.sdb, 28364105, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Fri Aug 25 06:03:31 BST 2017, Fri Aug 25 07:29:46 BST 2017, Fri Aug 25 20:21:06 BST 2017, 194, 16599260, 33442828, 49983175254553636, 2431336744, 2623346650, 69020240, 3060693582080, 1609385779182, 0, 636412, 11772300157, 194176981304000, 11027564752000, 
4760613.sdb, 28389218, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Sun Aug 27 02:14:03 BST 2017, Sun Aug 27 11:18:02 BST 2017, Mon Aug 28 00:08:18 BST 2017, 194, 16664172, 31717580, 49623974723521940, 2422021088, 2629234833, 68861787, 3066640136755, 1609105715371, 0, 651223, 11638147071, 194051968028000, 10931438072000, 
4761349.sdb, 28398914, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Mon Aug 28 00:11:40 BST 2017, Mon Aug 28 01:42:50 BST 2017, Mon Aug 28 14:40:26 BST 2017, 194, 16548884, 40530684, 51831699742064883, 2453573538, 2633259563, 69102936, 3070454009646, 1608603271641, 0, 640100, 12067936810, 195737854788000, 11258034492000, 
